gene_standard_name,gene_name,gene_primary_dbid,cross_ref_id,homolog_standard_name,homolog_systematic_name,homolog_name,disease_identifier,disease_name,data_source,homolog_algorithm,homolog_algorithm_matches,homolog_algorithm_attempts
NAALADL2,N-acetylated alpha-linked acidic dipeptidase-like 2,254827,608806,TRE2,YOR256C,Transferrrin REceptor like,,,DiOPT,PANTHER|OrthoFinder|OMA|SonicParanoid|Ensembl Compara,5,9
NAGS,N-acetylglutamate synthase,162417,608300,ARG2,YJL071W,ARGinine requiring,237310,N-ACETYLGLUTAMATE SYNTHASE DEFICIENCY; NAGSD,DiOPT,PANTHER|Ensembl Compara|OrthoFinder,3,9
NAGS,N-acetylglutamate synthase,162417,608300,ARG56,YER069W,ARGinine requiring,237310,N-ACETYLGLUTAMATE SYNTHASE DEFICIENCY; NAGSD,DiOPT,OrthoInspector|PANTHER|OrthoFinder|InParanoid|Hieranoid,5,9
NAP1L1,nucleosome assembly protein 1-like 1,4673,164060,NAP1,YKR048C,Nucleosome Assembly Protein,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid,8,9
NAPEPLD,N-acyl phosphatidylethanolamine phospholipase D,222236,612334,FMP30,YPL103C,Found in Mitochondrial Proteome,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|OMA|SonicParanoid|Ensembl Compara,8,9
NCALD,neurocalcin delta,83988,606722,FRQ1,YDR373W,FReQuenin homolog,,,DiOPT,Hieranoid|OrthoInspector|PANTHER,3,9
NCAPG,"non-SMC condensin I complex, subunit G",64151,606280,YCG1,YDR325W,Yeast Cap G,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|Ensembl Compara,8,9
NCAPH,"non-SMC condensin I complex, subunit H",23397,602332,BRN1,YBL097W,homolog of BaRreN,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
NCOR1,nuclear receptor corepressor 1,9611,600849,SNT1,YCR033W,SaNT domains,,,DiOPT,Ensembl Compara|OrthoInspector|PANTHER|OrthoFinder,4,9
NDC1,NDC1 transmembrane nucleoporin,55706,610115,NDC1,YML031W,Nuclear Division Cycle,,,DiOPT,Hieranoid|PANTHER,2,9
NDNL2,"necdin-like 2, SMC5-SMC6 complex component",56160,608243,NSE3,YDR288W,Non SMC Element,,,DiOPT,InParanoid|Hieranoid|PANTHER,3,9
NEDD4,"neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase",4734,602278,RSP5,YER125W,Reverses Spt- Phenotype,,,DiOPT,OrthoInspector|PANTHER|InParanoid|SonicParanoid|Ensembl Compara,5,9
NFX1,"nuclear transcription factor, X-box binding 1",4799,603255,FAP1,YNL023C,FKBP12-Associated Protein,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
NFYC,"nuclear transcription factor Y, gamma",4802,605344,HAP5,YOR358W,Heme Activator Protein,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|SonicParanoid|Ensembl Compara,6,9
NIFK,nucleolar protein interacting with the FHA domain of MKI67,84365,611970,NOP15,YNL110C,NucleOlar Protein,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|SonicParanoid,7,9
NME1,NME/NM23 nucleoside diphosphate kinase 1,4830,156490,YNK1,YKL067W,Yeast Nucleoside diphosphate Kinase,256700,"NEUROBLASTOMA, SUSCEPTIBILITY TO NEUROBLASTOMA, SUSCEPTIBILITY TO, 1, INCLUDED; NBLST1, INCLUDED",DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid,8,9
NME2,NME/NM23 nucleoside diphosphate kinase 2,4831,156491,YNK1,YKL067W,Yeast Nucleoside diphosphate Kinase,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
NOP10,NOP10 ribonucleoprotein,55505,606471,NOP10,YHR072W-A,NucleOlar Protein,224230,"DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 1; DKCB1",DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
NSFL1C,NSFL1 (p97) cofactor (p47),55968,606610,SHP1,YBL058W,Suppressor of High-copy PP1,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid,8,9
NUDT4,nudix (nucleoside diphosphate linked moiety X)-type motif 4,11163,609229,DDP1,YOR163W,Diadenosine and Diphosphoinositol Polyphosphate phosphohydrolase,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|Hieranoid|SonicParanoid|Ensembl Compara,7,9
NUDT5,nudix (nucleoside diphosphate linked moiety X)-type motif 5,11164,609230,YSA1,YBR111C,,,,DiOPT,OrthoInspector|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,8,9
NUP107,nucleoporin 107kDa,57122,607617,NUP84,YDL116W,NUclear Pore,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,8,9
NUP160,nucleoporin 160kDa,23279,607614,NUP120,YKL057C,NUclear Pore,,,DiOPT,PANTHER|OrthoFinder,2,9
NUP54,nucleoporin 54kDa,53371,607607,NUP57,YGR119C,NUclear Pore,,,DiOPT,InParanoid|Hieranoid|PANTHER|OrthoFinder,4,9
NUP98,nucleoporin 98kDa,4928,601021,NUP100,YKL068W,NUclear Pore,,,DiOPT,OrthoInspector|PANTHER|OrthoFinder|SonicParanoid|Ensembl Compara,5,9
NUP98,nucleoporin 98kDa,4928,601021,NUP116,YMR047C,NUclear Pore,,,DiOPT,Ensembl Compara|SonicParanoid|PANTHER|OrthoFinder,4,9
NUP98,nucleoporin 98kDa,4928,601021,NUP145,YGL092W,NUclear Pore,,,DiOPT,OrthoInspector|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA,6,9
NUS1,NUS1 dehydrodolichyl diphosphate synthase subunit,116150,610463,NUS1,YDL193W,Nuclear Undecaprenyl pyrophosphate Synthase,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,8,9
NUTF2,nuclear transport factor 2,10204,605813,NTF2,YER009W,Nuclear Transport Factor,,,DiOPT,OrthoInspector|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,8,9
OAT,ornithine aminotransferase,4942,613349,CAR2,YLR438W,Catabolism of ARginine,258870,GYRATE ATROPHY OF CHOROID AND RETINA; GACR,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
ODC1,ornithine decarboxylase 1,4953,165640,SPE1,YKL184W,SPErmidine auxotroph,114500,COLORECTAL CANCER; CRC,DiOPT,OrthoInspector|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,8,9
OGFOD1,2-oxoglutarate and iron-dependent oxygenase domain containing 1,55239,615857,TPA1,YER049W,Termination and PolyAdenylation,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|Hieranoid|Ensembl Compara,6,9
OLA1,Obg-like ATPase 1,29789,611175,OLA1,YBR025C,Obg-Like ATPase,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
OLA1,Obg-like ATPase 1,29789,611175,YLF2,YHL014C,,,,DiOPT,PANTHER|PhylomeDB|Ensembl Compara,3,9
OPLAH,5-oxoprolinase (ATP-hydrolysing),26873,614243,OXP1,YKL215C,OXoProlinase,260005,5-OXOPROLINASE DEFICIENCY; OPLAHD,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
ORC2,"origin recognition complex, subunit 2",4999,601182,ORC2,YBR060C,Origin Recognition Complex,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|Ensembl Compara,7,9
ORC4,"origin recognition complex, subunit 4",5000,603056,ORC4,YPR162C,Origin Recognition Complex,613800,MEIER-GORLIN SYNDROME 2; MGORS2,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,8,9
ORMDL1,ORMDL sphingolipid biosynthesis regulator 1,94101,610073,ORM1,YGR038W,,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
ORMDL1,ORMDL sphingolipid biosynthesis regulator 1,94101,610073,ORM2,YLR350W,,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
ORMDL2,ORMDL sphingolipid biosynthesis regulator 2,29095,610074,ORM1,YGR038W,,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
ORMDL2,ORMDL sphingolipid biosynthesis regulator 2,29095,610074,ORM2,YLR350W,,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
OSBP2,oxysterol binding protein 2,23762,606729,OSH2,YDL019C,OxySterol binding protein Homolog,,,DiOPT,OrthoInspector|PANTHER|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,6,9
OSBP2,oxysterol binding protein 2,23762,606729,SWH1,YAR042W,,,,DiOPT,OrthoInspector|PANTHER|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,7,9
OVCA2,ovarian tumor suppressor candidate 2,124641,607896,FSH2,YMR222C,Family of Serine Hydrolases,,,DiOPT,PANTHER|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,5,9
OVCA2,ovarian tumor suppressor candidate 2,124641,607896,FSH3,YOR280C,Family of Serine Hydrolases,,,DiOPT,OrthoInspector|PANTHER|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,7,9
PAK1IP1,PAK1 interacting protein 1,55003,607811,MAK11,YKL021C,MAintenance of Killer,,,DiOPT,OrthoInspector|PhylomeDB|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid,7,9
PAK2,p21 protein (Cdc42/Rac)-activated kinase 2,5062,605022,SKM1,YOL113W,STE20/PAK homologous Kinase related to Morphogenesis,,,DiOPT,Hieranoid|PhylomeDB|PANTHER|OMA,4,9
PAK2,p21 protein (Cdc42/Rac)-activated kinase 2,5062,605022,STE20,YHL007C,STErile,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|SonicParanoid,6,9
PCBP1,poly(rC) binding protein 1,5093,601209,PBP2,YBR233W,Pbp1p Binding Protein,,,DiOPT,OrthoInspector|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|Ensembl Compara,7,9
PCNA,proliferating cell nuclear antigen,5111,176740,POL30,YBR088C,POLymerase,615919,ATAXIA-TELANGIECTASIA-LIKE DISORDER 2; ATLD2,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
PCSK1,proprotein convertase subtilisin/kexin type 1,5122,162150,KEX2,YNL238W,Killer EXpression defective,612362,BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 12; BMIQ12,DiOPT,Ensembl Compara|OrthoInspector|PANTHER,3,9
PCSK1,proprotein convertase subtilisin/kexin type 1,5122,162150,KEX2,YNL238W,Killer EXpression defective,600955,PROPROTEIN CONVERTASE 1/3 DEFICIENCY,DiOPT,Ensembl Compara|OrthoInspector|PANTHER,3,9
PCSK5,proprotein convertase subtilisin/kexin type 5,5125,600488,KEX2,YNL238W,Killer EXpression defective,,,DiOPT,Ensembl Compara|OrthoInspector|PANTHER,3,9
PDCD11,programmed cell death 11,22984,612333,RRP5,YMR229C,Ribosomal RNA Processing,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
PDCD2,programmed cell death 2,5134,600866,TSR4,YOL022C,Twenty S rRNA accumulation,,,DiOPT,InParanoid|SonicParanoid|Ensembl Compara,3,9
PDCD2L,programmed cell death 2-like,84306,615661,TSR4,YOL022C,Twenty S rRNA accumulation,,,DiOPT,Hieranoid|SonicParanoid|OrthoFinder,3,9
PDCD6,programmed cell death 6,10016,601057,PEF1,YGR058W,Penta-EF-Hand protein,,,DiOPT,InParanoid|OrthoInspector|SonicParanoid|OrthoFinder,4,9
PDCL3,phosducin-like 3,79031,611678,PLP2,YOR281C,Phosducin-Like Protein,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
PDE12,phosphodiesterase 12,201626,616519,NGL2,YMR285C,,,,DiOPT,InParanoid|SonicParanoid|OrthoFinder,3,9
PDE12,phosphodiesterase 12,201626,616519,NGL3,YML118W,,,,DiOPT,InParanoid|SonicParanoid|OrthoFinder,3,9
PDS5A,PDS5 cohesin associated factor A,23244,613200,PDS5,YMR076C,Precocious Dissociation of Sisters,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
PEF1,penta-EF-hand domain containing 1,553115,610033,PEF1,YGR058W,Penta-EF-Hand protein,,,DiOPT,PANTHER|OrthoFinder|InParanoid|Hieranoid|SonicParanoid,5,9
PEPD,peptidase D,5184,613230,,YFR006W,,170100,PROLIDASE DEFICIENCY,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
PEX14,peroxisomal biogenesis factor 14,5195,601791,PEX14,YGL153W,PEroXisome related,614887,"PEROXISOME BIOGENESIS DISORDER 13A (ZELLWEGER); PBD13A PEROXISOME BIOGENESIS DISORDER, COMPLEMENTATION GROUP K, INCLUDED; CGK, INCLUDED",DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|Ensembl Compara,7,9
PEX3,peroxisomal biogenesis factor 3,8504,603164,PEX3,YDR329C,PEroXin,614882,"PEROXISOME BIOGENESIS DISORDER 10A (ZELLWEGER); PBD10A PEROXISOME BIOGENESIS DISORDER, COMPLEMENTATION GROUP 12, INCLUDED; CG12, INCLUDED",DiOPT,PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid,5,9
PEX6,peroxisomal biogenesis factor 6,5190,601498,PEX6,YNL329C,PEroXin,616617,HEIMLER SYNDROME 2; HMLR2,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,8,9
PEX6,peroxisomal biogenesis factor 6,5190,601498,PEX6,YNL329C,PEroXin,614862,"PEROXISOME BIOGENESIS DISORDER 4A (ZELLWEGER); PBD4A PEROXISOME BIOGENESIS DISORDER, COMPLEMENTATION GROUP 4, INCLUDED; CG4, INCLUDED",DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,8,9
PEX6,peroxisomal biogenesis factor 6,5190,601498,PEX6,YNL329C,PEroXin,614863,PEROXISOME BIOGENESIS DISORDER 4B; PBD4B,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,8,9
PFDN1,prefoldin subunit 1,5201,604897,PFD1,YJL179W,PreFolDin,,,DiOPT,Hieranoid|PhylomeDB|PANTHER|OrthoFinder,4,9
PFDN2,prefoldin subunit 2,5202,613466,GIM4,YEL003W,Gene Involved in Microtubule biogenesis,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
PFDN4,prefoldin subunit 4,5203,604898,GIM3,YNL153C,Gene Involved in Microtubule biogenesis,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
PFKFB1,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1",5207,311790,FBP26,YJL155C,Fructose BisPhosphatase,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid,8,9
PGAM1,phosphoglycerate mutase 1 (brain),5223,172250,GPM1,YKL152C,Glycerate PhosphoMutase,,,DiOPT,OrthoInspector|PhylomeDB|InParanoid|Hieranoid|OMA|SonicParanoid,6,9
PGAM4,phosphoglycerate mutase family member 4,441531,300567,GPM1,YKL152C,Glycerate PhosphoMutase,,,DiOPT,OrthoInspector|InParanoid|Hieranoid|OMA|SonicParanoid,5,9
PGD,phosphogluconate dehydrogenase,5226,172200,GND1,YHR183W,6-phosphoGlucoNateDehydrogenase,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
PGD,phosphogluconate dehydrogenase,5226,172200,GND2,YGR256W,6-phosphoGlucoNateDehydrogenase,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
PGK1,phosphoglycerate kinase 1,5230,311800,PGK1,YCR012W,3-PhosphoGlycerate Kinase,300653,PHOSPHOGLYCERATE KINASE 1 DEFICIENCY,DiOPT,OrthoInspector|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid,7,9
PGM1,phosphoglucomutase 1,5236,171900,PGM1,YKL127W,PhosphoGlucoMutase,614921,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE It; CDG1T",DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid,8,9
PGM1,phosphoglucomutase 1,5236,171900,PGM2,YMR105C,PhosphoGlucoMutase,614921,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE It; CDG1T",DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid,8,9
PGP,phosphoglycolate phosphatase,283871,172280,PHO13,YDL236W,PHOsphate metabolism,,,DiOPT,OrthoInspector|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,6,9
PHF8,PHD finger protein 8,23133,300560,JHD1,YER051W,JmjC domain-containing Histone Demethylase,300263,SIDERIUS X-LINKED MENTAL RETARDATION SYNDROME; MRXSSD,DiOPT,Hieranoid|OrthoInspector|Ensembl Compara|OrthoFinder,4,9
PHGDH,phosphoglycerate dehydrogenase,26227,606879,SER3,YER081W,SERine requiring,601815,PHOSPHOGLYCERATE DEHYDROGENASE DEFICIENCY; PHGDHD,DiOPT,InParanoid|OrthoInspector|SonicParanoid,3,9
PHGDH,phosphoglycerate dehydrogenase,26227,606879,SER3,YER081W,SERine requiring,256520,NEU-LAXOVA SYNDROME 1; NLS1,DiOPT,InParanoid|OrthoInspector|SonicParanoid,3,9
PHGDH,phosphoglycerate dehydrogenase,26227,606879,SER33,YIL074C,SERine requiring,601815,PHOSPHOGLYCERATE DEHYDROGENASE DEFICIENCY; PHGDHD,DiOPT,InParanoid|OrthoInspector|SonicParanoid,3,9
PHGDH,phosphoglycerate dehydrogenase,26227,606879,SER33,YIL074C,SERine requiring,256520,NEU-LAXOVA SYNDROME 1; NLS1,DiOPT,InParanoid|OrthoInspector|SonicParanoid,3,9
PHLPP1,PH domain and leucine rich repeat protein phosphatase 1,23239,609396,CYR1,YJL005W,CYclic AMP Requirement,,,DiOPT,OrthoInspector|PhylomeDB,2,9
PI4K2A,phosphatidylinositol 4-kinase type 2 alpha,55361,609763,LSB6,YJL100W,Las Seventeen Binding protein,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,8,9
PIGK,phosphatidylinositol glycan anchor biosynthesis class K,10026,605087,GPI8,YDR331W,GlycosylPhosphatidylInositol anchor biosynthesis,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
PIGL,phosphatidylinositol glycan anchor biosynthesis class L,9487,605947,GPI12,YMR281W,GlycosylPhosphatidylInositol anchor biosynthesis,280000,"COLOBOMA, CONGENITAL HEART DISEASE, ICHTHYOSIFORM DERMATOSIS, MENTAL RETARDATION, AND EAR ANOMALIES SYNDROME; CHIME",DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
PIGN,phosphatidylinositol glycan anchor biosynthesis class N,23556,606097,MCD4,YKL165C,Morphogenesis Checkpoint Dependent,614080,MULTIPLE CONGENITAL ANOMALIES-HYPOTONIA-SEIZURES SYNDROME 1; MCAHS1,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
PIGU,phosphatidylinositol glycan anchor biosynthesis class U,128869,608528,GAB1,YLR459W,GPI and Actin Bar,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
PIGV,phosphatidylinositol glycan anchor biosynthesis class V,55650,610274,GPI18,YBR004C,GlycosylPhosphatidylInositol,239300,HYPERPHOSPHATASIA WITH MENTAL RETARDATION SYNDROME 1; HPMRS1,DiOPT,PANTHER|OrthoFinder|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,6,9
PKN2,protein kinase N2,5586,602549,PKC1,YBL105C,Protein Kinase C,,,DiOPT,OrthoInspector|PANTHER|OrthoFinder,3,9
PLA2G4D,"phospholipase A2, group IVD (cytosolic)",283748,612864,PLB1,YMR008C,PhosphoLipase B,,,DiOPT,InParanoid|SonicParanoid|PANTHER,3,9
PLA2G4D,"phospholipase A2, group IVD (cytosolic)",283748,612864,PLB2,YMR006C,PhosphoLipase B,,,DiOPT,InParanoid|SonicParanoid|PANTHER,3,9
PLA2G4D,"phospholipase A2, group IVD (cytosolic)",283748,612864,PLB3,YOL011W,PhosphoLipase B,,,DiOPT,InParanoid|SonicParanoid|PANTHER,3,9
PLA2G4D,"phospholipase A2, group IVD (cytosolic)",283748,612864,SPO1,YNL012W,SPOrulation,,,DiOPT,InParanoid|SonicParanoid|PANTHER,3,9
PLAA,phospholipase A2-activating protein,9373,603873,DOA1,YKL213C,Degradation Of Alpha,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,8,9
PLD1,"phospholipase D1, phosphatidylcholine-specific",5337,602382,SPO14,YKR031C,SPOrulation,,,DiOPT,OrthoInspector|PANTHER|OrthoFinder|InParanoid|SonicParanoid|Ensembl Compara,6,9
PLK2,polo-like kinase 2,10769,607023,CDC5,YMR001C,Cell Division Cycle,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|SonicParanoid,6,9
PLSCR4,phospholipid scramblase 4,57088,607612,AIM25,YJR100C,Altered Inheritance of Mitochondria,,,DiOPT,PANTHER|OrthoFinder|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,6,9
PNPLA7,patatin-like phospholipase domain containing 7,375775,612122,NTE1,YML059C,Neuropathy Target Esterase,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|SonicParanoid,7,9
POLE,"polymerase (DNA directed), epsilon, catalytic subunit",5426,174762,POL2,YNL262W,POLymerase,615139,"FACIAL DYSMORPHISM, IMMUNODEFICIENCY, LIVEDO, AND SHORT STATURE; FILS",DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
POLE,"polymerase (DNA directed), epsilon, catalytic subunit",5426,174762,POL2,YNL262W,POLymerase,615083,"COLORECTAL CANCER, SUSCEPTIBILITY TO, 12; CRCS12",DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
POLL,"polymerase (DNA directed), lambda",27343,606343,POL4,YCR014C,POLymerase,,,DiOPT,OrthoInspector|PANTHER|InParanoid|SonicParanoid|Ensembl Compara,5,9
POLR2G,polymerase (RNA) II (DNA directed) polypeptide G,5436,602013,RPB7,YDR404C,RNA Polymerase B,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
POLR2K,"polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa",5440,606033,RPC10,YHR143W-A,RNA Polymerase C,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,8,9
POLR2L,"polymerase (RNA) II (DNA directed) polypeptide L, 7.6kDa",5441,601189,RPB10,YOR210W,RNA Polymerase B,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
POMP,proteasome maturation protein,51371,613386,UMP1,YBR173C,Ubiquitin-Mediated Proteolysis,601952,KERATOSIS LINEARIS WITH ICHTHYOSIS CONGENITA AND SCLEROSING KERATODERMA,DiOPT,PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|Ensembl Compara,6,9
POP4,"POP4 homolog, ribonuclease P/MRP subunit",10775,606114,POP4,YBR257W,Processing Of Precursor RNAs,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|Ensembl Compara,7,9
POSTN,"periostin, osteoblast specific factor",10631,608777,,YLR001C,,,,DiOPT,Hieranoid|SonicParanoid|PANTHER,3,9
POU2F1,POU class 2 homeobox 1,5451,164175,YOX1,YML027W,Yeast homeobOX,,,DiOPT,Hieranoid|OrthoFinder,2,9
PPA1,pyrophosphatase (inorganic) 1,5464,179030,IPP1,YBR011C,Inorganic PyroPhosphatase,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,8,9
PPA1,pyrophosphatase (inorganic) 1,5464,179030,PPA2,YMR267W,PyroPhosphatAse,,,DiOPT,Ensembl Compara|PhylomeDB|PANTHER|OrthoFinder,4,9
PPIA,peptidylprolyl isomerase A (cyclophilin A),5478,123840,CPR1,YDR155C,Cyclosporin A-sensitive Proline Rotamase,,,DiOPT,OrthoInspector|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,6,9
PPIA,peptidylprolyl isomerase A (cyclophilin A),5478,123840,CPR3,YML078W,Cyclosporin A-sensitive Proline Rotamase,,,DiOPT,InParanoid|OrthoInspector|OMA|Ensembl Compara,4,9
